"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"84.","1408","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Техничка школа Милева Марић Ајнштајн","Гагаринова 1","21000","mileva.ajnstajn021@gmail.com","(021)443444","http://www.mmaricajnstajn.edu.rs","8043370","100237011","1983-09-30","Средње стручне школе","Државно","65","5","0","1735","937","9","5","0","172","158.081800","212","203.081800"
"85.","1409","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Саобраћајна школа Пинки","Шумадијска 12а","21100","sspinki@eunet.rs","(021)527155","http://sspinki.edu.rs","8158142","101652308","1983-06-02","Средње стручне школе","Државно","53","0","0","1366","488","1","0","0","124","107.730000","155","140.980000"
"86.","1412","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Школа за дизајн Богдан Шупут","Јанка Веселиновића 22","21100","designbs@nspoint.net","(021)512244","http://skolazadizajnbogdansuput.edu.rs","8066957","100715122","1948-10-21","Средње стручне школе","Државно","24","0","0","416","334","0","0","0","84","61.300000","98","77.470000"
"87.","1413","Нови Сад","Јужнобачки управни округ","Србобран","Србобран","Гимназија и економска школа Светозар Милетић","Трг професора Миливоја Туторова 4","21480","gimnazissrbobran@mts.rs","(021)730155","http://www.gimnazijasrbobran.edu.rs","8013276","101867755","1962-04-27","Средње стручне школе","Државно","8","0","0","164","110","0","0","0","27","13.114000","33","21.114000"
"88.","1414","Нови Сад","Јужнобачки управни округ","Сремски Карловци","Сремски Карловци","Карловачка гимназија","Трг Бранка Радичевића 2","21205","karlgimnazija@yahoo.com","(021)881777","http://www.karlovackagimnazija.rs","8066906","101422302","1956-09-19","Гимназије","Државно","24","4","0","521","410","0","0","0","89","77.599000","107","96.599000"
"89.","1415","Нови Сад","Јужнобачки управни округ","Темерин","Темерин","Средња школа Лукијан Мушицки","Народног фронта 80","21235","lukijanmusicki@mts.rs","21843272","http://www.sslukijanmusicki.com","8071870","100817548","1946-09-12","Средње стручне школе","Државно","20","6","0","415","197","4","5","0","56","37.745500","67","50.745500"
"90.","1416","Нови Сад","Јужнобачки управни округ","Тител","Тител","Средња техничка школа Милева Марић","Главна 7","21240","sskola-titel@eunet.rs","(021)2960189","http://stsmmarictitel.edu.rs","8050490","101455829","1965-03-01","Средње стручне школе","Државно","14","6","0","298","156","2","1","2","36","29.298000","47","41.798000"
"91.","1417","Нови Сад","Сремски управни округ","Инђија","Инђија","Гимназија","Трг слободе 2а","22320","gimin@indjija.net","(022)555095","http://www.gimnazijain.edu.rs","8111634","100702812","2016-05-30","Гимназије","Државно","16","0","0","396","241","0","1","0","34","28.219900","46","39.719900"
"92.","1418","Нови Сад","Сремски управни округ","Инђија","Инђија","Техничка школа Михајло Пупин","Цара Душана 2","22320","m_pupin@indjija.net","(022)561661","http://www.mihajlopupin.edu.rs/","8004056","100698386","1961-05-12","Средње стручне школе","Државно","21","5","0","529","56","0","4","0","60","47.154700","74","63.465800"
"93.","1419","Нови Сад","Сремски управни округ","Инђија","Инђија","Средња школа Др Ђорђе Натошевић","Трг слободе 2а","22320","djordjenatosevic@yahoo.com","(022)552373","http://www.natosevicin.edu.rs","8656550","100701813","1997-07-09","Средње стручне школе","Државно","22","6","0","537","362","5","7","4","64","48.540000","77","62.040000"
"94.","1420","Нови Сад","Сремски управни округ","Пећинци","Пећинци","Техничка школа Миленко Веркић - Неша","Школска 8а","22410","tspecinci@mts.rs","(022)2436146","http://www.tspecinci.rs","8126356","101426131","","Средње стручне школе","Државно","15","2","0","319","159","1","2","0","38","27.630000","49","39.130000"
"95.","1421","Нови Сад","Сремски управни округ","Рума","Рума","Гимназија Стеван Пузић","Партизанска бб","22400","rumagimn@eunet.rs","(022)474515","http://www.gimnazija-ruma.rs","8196109","101341475","1990-07-01","Гимназије","Државно","16","0","0","397","252","0","0","0","38","27.390000","50","39.820000"
"96.","1422","Нови Сад","Сремски управни округ","Рума","Рума","Средња пољопривредно-прехрамбена школа Стеван Петровић - Бриле","Вука Караџића 70","22400","brile.ruma@gmail.com","(022)474784","http://www.poljskolaruma.edu.rs","8026424","100782421","1965-01-29","Средње стручне школе","Државно","11","1","0","247","93","0","2","0","36","24.740700","50","40.190700"
"97.","1423","Нови Сад","Сремски управни округ","Рума","Рума","Средња техничка школа Миленко Брзак - Уча","Вука Караџића 70","22400","skolambu@mts.rs","(022)474716","http://www.srednjatehnicka.edu.rs","8026416","100782413","1961-07-14","Средње стручне школе","Државно","18","4","0","412","29","1","1","0","43","35.030000","58","49.530000"
"98.","1424","Нови Сад","Сремски управни округ","Рума","Рума","Средња стручна школа Бранко Радичевић","Партизанска бб","22400","srednjabr.ruma@eunet.rs","(022)479033","http://www.srednjabr.edu.rs","8196117","101341266","1990-07-01","Средње стручне школе","Државно","19","3","0","468","348","1","7","0","53","39.021100","69","55.321100"
"99.","1425","Нови Сад","Сремски управни округ","Сремска Митровица - град","Сремска Митровица","Митровачка гимназија","Светог Саве 2","22000","gimnazijagsm@gmail.com","(022)610390","http://www.gimnazijasm.edu.rs","8195242","100517170","2017-10-13","Гимназије","Државно","30","0","2","794","468","0","0","0","69","56.255000","84","71.755000"
"100.","1426","Ваљево","Мачвански управни округ","Лозница - град","Лозница","Средња школа Свети Сава","Саве Ковачевића 1","15300","svetisavalo@mts.rs","(015)878180","http://svetisavalo.wordpress.com","7350686","101561217","1987-01-01","Средње стручне школе","Државно","27","3","0","776","590","2","3","0","79","63.550000","95","81.660000"
"101.","1427","Ваљево","Мачвански управни округ","Крупањ","Крупањ","Средња школа","Вука Караџића 16","15314","srednjaskola.krupanj@gmail.com","(015)7581143","http://www.srednjaskola.edu.rs","7120346","101394778","1965-09-01","Средње стручне школе","Државно","15","3","0","343","134","0","6","0","36","28.410000","44","39.610000"
